ID	Range	genotype	experiment	sublock	Block	WHOLE WEIGHT (g)	W.W-COBS	20 KERNELS WEIGHT	COB LENGTH (CM)	COB DIA MM
21HL_JY1239	25	BGEM-0080-S_ Mo17	LN	sb4	bk4	198.8	169.8	6.46666666666667	19.9666666666667	23.9866666666667
21HL_JY1240	25	BGEM-0235-N_ B73	LN	sb4	bk4	220.533333333333	182.6	5.6	18.7666666666667	27.9333333333333
21HL_JY1241	25	BGEM-0140-N_ B73	LN	sb4	bk4	213.2	184.133333333333	5.6	19.2666666666667	25.7433333333333
21HL_JY1242	25	BGEM-0146-N_ B73	LN	sb4	bk4	163.8	135	5.7	18.2333333333333	24.7333333333333
21HL_JY1243	25	BGEM-0106-N_ B73	LN	sb4	bk4	216.2	167.3	7.26666666666667	22.4	55.2566666666667
21HL_JY1244	25	BGEM-0242-N_ B73	LN	sb4	bk4	219.4	181.166666666667	6.4	21.2333333333333	25.8466666666667
21HL_JY1245	25	BGEM-0105-N_ B73	LN	sb4	bk4	279.266666666667	229.266666666667	6.2	23.0333333333333	27.7933333333333
21HL_JY1246	25	BGEM-0260-N_ B73	LN	sb4	bk4	245.966666666667	206.333333333333	5.23333333333333	18.8666666666667	27.6966666666667
21HL_JY1247	25	BGEM-0175-S_ Mo17	LN	sb4	bk4	66.1666666666667	48.0333333333333	4.33333333333333	11.8	26.36
21HL_JY1248	25	BGEM-0125-N_ B73	LN	sb4	bk4	196.8	163.7	5.36666666666667	17.8666666666667	54.3933333333333
21HL_JY1249	25	BGEM-0253-N_ B73	LN	sb4	bk4	230.1	189.366666666667	5.66666666666667	21.0333333333333	53.98
21HL_JY1250	25	B73	LN	sb4	bk4	74.9	54.5333333333333	4.73333333333333	12.6	26.7366666666667
